id,name,temp_avg,temp_max,temp_min,date_time
425,HS3LIQ-2,45.0,45.6,44.4,2021-03-25
427,HS3LSE-5,35.2,36.7,32.8,2021-03-25
428,HS3MXC-2,35.733333333333334,37.2,33.3,2021-03-25
429,HS3NOQ-12,33.5,34.4,32.2,2021-03-25
430,HS3NOQ-2,33.666666666666664,34.4,32.2,2021-03-25
431,HS3PIK-2,38.333333333333336,41.7,34.4,2021-03-25
432,HS3PKX-1,32.233333333333334,32.8,31.7,2021-03-25
433,HS3PQJ-1,38.86666666666667,40.0,37.2,2021-03-25
435,HS3PQJ-3,33.9,36.1,30.0,2021-03-25
436,HS3RVL-3,33.9,35.6,31.1,2021-03-25
437,HS4AC-10,36.333333333333336,36.7,35.6,2021-03-25
438,HS4AP-10,35.56666666666667,36.7,33.9,2021-03-25
439,HS4LWD-1,32.4,34.4,28.9,2021-03-25
440,HS4RAY-1,35.36666666666667,37.2,31.7,2021-03-25
443,HS4YYZ-1,35.733333333333334,37.2,33.3,2021-03-25
444,HS5AC-10,38.166666666666664,38.9,36.7,2021-03-25
445,HS5AM-10,40.2,41.7,37.8,2021-03-25
446,HS5FXK,35.36666666666667,36.7,33.3,2021-03-25
448,HS5GDX-1,35.93333333333334,36.1,35.6,2021-03-25
449,HS5GDX-2,32.23333333333333,33.3,30.6,2021-03-25
450,HS5SQI-1,35.53333333333333,36.1,34.4,2021-03-25
451,HS5WFI-13,34.833333333333336,36.7,31.1,2021-03-25
453,HS5ZEZ-1,33.13333333333333,33.3,32.8,2021-03-25
454,HS6AB-10,36.666666666666664,37.2,36.1,2021-03-25
455,HS6NYW-3,44.46666666666667,46.1,41.7,2021-03-25
456,HS6TUX,38.13333333333333,39.4,36.1,2021-03-25
457,HS7AJ-10,35.56666666666667,36.7,33.9,2021-03-25
459,HS7AP-10,36.13333333333333,38.9,31.7,2021-03-25
460,HS7AT-11,34.23333333333334,37.2,29.4,2021-03-25
462,HS8AK-10,36.46666666666667,37.8,34.4,2021-03-25
463,HS8AT-10,37.4,38.3,35.6,2021-03-25
464,HS8INB-1,32.23333333333333,32.8,31.1,2021-03-25
466,HS8KAY,34.63333333333333,35.0,33.9,2021-03-25
467,HS8KF-10,36.666666666666664,37.8,35.0,2021-03-25
468,HS9AN-10,27.03333333333333,27.2,26.7,2021-03-25
470,HS9AT-10,33.300000000000004,34.4,31.1,2021-03-25
471,HS5FXK-2,33.111111111111114,35.6,32.8,2021-03-25
472,HS7AM-10,32.8,32.8,32.8,2021-03-25
408,HS1AN-10,35.0,35.0,35.0,2021-03-24
447,HS5FXK-2,35.0,35.0,35.0,2021-03-24
458,HS7AM-10,28.9,28.9,28.9,2021-03-22
415,HS2GJW-1,30.0,30.0,30.0,2021-03-20
